Key,English,Vietnamese,Brazil,Turkish,German,France,Indonesian,Spanish,Russian,Korean,Japanese,Hindi,Ukrainian,Italian,Giải thích
Tutorial,Tutorial,Hướng dẫn,Tutorial,Eğitici,Tutorial,Tutoriel,Tutorial,Tutorial,Обучение,튜토리얼,チュートリアル,ट्यूटोरियल,Навчання,Tutorial,
battle_pass,Battle Pass,Battle Pass,Passe de Batalha,Savaş Bileti,Battle Pass,Passe de combat,Battle Pass,Pase de batalla,Боевой пропуск,배틀 패스,バトルパス,बैटल पास,Бойова перепустка,Pass battaglia,
battle_pass_active_premium,Activate,Kích Hoạt,,,,,,,,,,,,,
battle_pass_coming_soon,New Seasion is Coming Soon...,Mùa mới sẽ có trong thời gian sắp tới...,A Nova Temporada está chegando...,Yeni Sezon Yakında Geliyor...,Neue Saison beginnt bald...,La nouvelle saison arrive bientôt...,Musim Baru Segera Hadir...,La nueva temporada llegará pronto...,Новый сезон скоро...,새로운 시즌이 곧 시작됩니다...,新シーズンがまもなく登場...,नया सीजन जल्द ही आ रहा है...,Новий сезон незабаром...,La nuova stagione arriverà presto...,
battle_pass_inactive_premium,Premium Pass,Vé Cao Cấp,Passe Premium,Premium Geçiş,Premium-Pass,Pass Premium,Pass Premium,Pase Premium,Премиум-пропуск,프리미엄 패스,プレミアムパス,प्रीमियम पास,Преміум-перепустка,Pass Premium,
battle_pass_premium_preb_des,"Start each Level with {0} <sprite name=""card""> Bonus Card  ","Thêm {0} thẻ <sprite name=""card""> khi bắt đầu mỗi trận đấu","Comece cada nível com uma Carta Bônus {0} <sprite name=""card"">","Her Seviyeye bir {0} <sprite name=""card""> Bonus Kartı ile başlayın","Starte jedes Level mit einer {0} <sprite name=""card""> Bonuskarte","Commencez chaque niveau avec une carte bonus {0} <sprite name=""card"">","Mulai setiap Level dengan Kartu Bonus {0} <sprite name=""card"">","Comienza cada nivel con una carta de bonificación {0} <sprite name=""card"">","Начинайте каждый уровень с бонусной картой {0} <sprite name=""card"">","각 레벨을 {0} <sprite name=""card""> 보너스 카드로 시작하세요","各レベルを{0} <sprite name=""card"">ボーナスカードで開始します","प्रत्येक स्तर को {0} <sprite name=""card""> बोनस कार्ड के साथ शुरू करें","Починайте кожен рівень з бонусною картою {0} <sprite name=""card"">","Inizia ogni livello con una carta bonus {0} <sprite name=""card"">",
battle_pass_premium_preb_des_2,Total extra rewards in season pass,Tổng phần thưởng nhận thêm trong mùa giải,Total de recompensas extras no passe de temporada,Sezon biletindeki toplam ekstra ödüller,Gesamte Zusatzbelohnungen im Season Pass,Total des récompenses supplémentaires du pass de saison,Total hadiah tambahan di pass musim,Total de recompensas adicionales en el pase de temporada,Всего дополнительных наград в сезонном пропуске,시즌 패스 총 추가 보상,シーズンパスの追加報酬合計,सीजन पास में कुल अतिरिक्त पुरस्कार,Усього додаткових нагород у сезонній перепустці,Totale premi extra nel pass stagionale,
battle_pass_time_remain,Time Remaining,Thời Gian Còn Lại,Tempo Restante,Kalan Süre,Verbleibende Zeit,Temps restant,Sisa Waktu,Tiempo restante,Оставшееся время,남은 시간,残り時間,शेष समय,Залишилося часу,Tempo rimanente,
breaking,BREAK TIME,NGHỈ GIẢI LAO,HORA DA PAUSA,MOLA ZAMANI,PAUSENZEIT,TEMPS DE PAUSE,WAKTU ISTIRAHAT,TIEMPO DE DESCANSO,ВРЕМЯ ПЕРЕРЫВА,휴식 시간,休憩時間,विश्राम का समय,ЧАС ПЕРЕРВИ,ORA DELLA PAUSA,
btn_no,No,Không,Não,Hayır,Nein,Non,Tidak,No,Нет,아니요,いいえ,नहीं,Ні,No,
btn_save,Save,Lưu,Salvar,Kaydet,Speichern,Sauvegarder,Simpan,Guardar,Сохранить,저장,保存,सहेजें,Зберегти,Salva,
btn_yes,Yes,Có,Sim,Evet,Ja,Oui,Ya,Sí,Да,예,はい,हाँ,Так,Sì,
